Name,Location,Open Year-Round,Handicap Accessible,Borough
Flushing Meadows Corona Park (Albert H. Mauro Playground),Park Drive East & 73 Terrace,Yes,No,Queens
Flushing Meadows Corona Park (Lawrence Playground),College Point Boulevard and Lawrence Street,Yes,No,Queens
Flushing Meadows Corona Park (Meadow Lake North),Long Island Expressway to Meadow Lake to Van Wyck Expressway Extension to Grand Central Parkway,Yes,No,Queens
Flushing Meadows Corona Park (Passerelle),"Unisphere Fountain to pool, at Meridian Road",Yes,Yes,Queens
Flushing Meadows Corona Park (Playground for All Children),111 Street and Corona Avenue,Yes,Yes,Queens
Flushing Meadows Corona Park (Worlds Fair Playground),"Grand Central Parkway, Van Wyck Expressway",Yes,No,Queens
"Flushing Meadows Corona Park (Zoo, Ballfields)",Grand Central Parkway to 111th Street to Heckscher Children Farm to Playground for All Children,Yes,Yes,Queens
Flynn Playground,"3 Avenue, East 158 Street, Brook Avenue, East 157 Street",Yes,No,Bronx
Forest Park (Dry Harbour Playground),80 Street & Myrtle Avenue,Yes,No,Queens
Forest Park (Jackson Pond Playground),108 Street and Park Lane South,Yes,No,Queens
Forest Park (Seuffert Bandshell),West Main Drive to eastern side of golf course,No,No,Queens
"Forest Park (Sobelsohn Playground, The Overlook)",Park Lane South and Abingdon Road,Yes,No,Queens
Forest Park (Tennis Courts -Forest Parkway),Park Lane South to north of tennis courts,Yes,No,Queens
Forest Park (The Overlook),Park Lane (to east and south) to Metropolitan Avenue,Yes,No,Queens
Forest Park (Victory Field),Long Island Railroad to Woodhaven Boulevard. to Myrtle Avenue to 96th Street,Yes,No,Queens
"Forest Park (Visitor Center, near the Carousel)",Woodhaven Boulevard and Forest Park Drive,Yes,No,Queens
Fort Greene Park,South of Myrtle Avenue to Willoughby Avenue,Yes,No,Brooklyn
Fort Greene Playground,Myrtle Avenue & St. Edwards Plaza,Yes,Yes,Brooklyn
Fort Independence Playground,"Stevenson Place, West 238 Street, Sedgwick Avenue",Yes,No,Bronx
Fort Tryon Park (Anne Loftus Playground),Broadway & Dyckman Street,Yes,Yes,Manhattan
Fort Tryon Park (Café),One Margaret Corbin Drive,No,No,Manhattan
Fort Tryon Park (The Cloisters),"Riverside Drive to Broadway, West 192 to Dyckman streets",Yes,No,Manhattan
Fort Washington Park (Lily Brown Playground),"West 162 Street, east of Riverside Drive",Yes,Yes,Manhattan
Fox Playground,"Avenue H, East 54 to E 55 streets",Yes,Yes,Brooklyn
Francis Lewis Playground,3 Avenue and Bronx Whitestone Bridge,Yes,No,Queens
Frank D. O'Connor Playground,Broadway & 78 Street,Yes,No,Queens
Frank Golden Park,"132 to 138 streets, 14 Road",Yes,No,Queens
